"metadataMap.Author.keyword: Descending",Count
"Koetschau, Paul",2
"Koetsveld, Cornelis Elisa van",2
"Kohler, Josef",2
"Kolb, Georg Friedrich",2
"Kolb, Johann [GNDNR:1053722907]",2
"Kolbe, Hermann",2
"Korn, Arthur",2
"Kornfeld, Ferdinand",2
"Korselt, Theodor",2
"Kretschmar, Paul",2
"Krieck, Ernst",2
"Kruess, Gerhard",2
"Krüche, Arno",2
"Köber, Johann Friedrich",2
"Köhler, Heinrich Gottlieb",2
"König, Eduard",2
"Köppel, Leonhard",2
"Körner, Friedrich",2
"Kügelgen, Constantin von",2
"Küster, Friedrich W.",2
"Laar, Johannes J. van",2
"Ladendorf, Otto",2
"Laetus, Erasmus Michael",2
"Lammasch, Heinrich",2
"Landerer, Albert",2
"Langenbeck, Rudolf",2
Laozi,2
"Lauenstein, Rudolf",2
"Le Blanc, Max",2
"Lehmann, Christian",2
"Lehmann, Clemens",2
"Lehmann, Georg",2
"Leibniz, Gottfried Wilhelm",2
"Lenz, Max",2
"Leo, Friedrich",2
"Lesmann, Dionysius",2
"Leuckart, Rudolf",2
"Leyser, Polycarp",2
"Liliencron, Rochus von",2
"Linde, Ernst",2
"Lindholz, Johannes [PNDNR:119744791] [GNDNR:119744791]",2
"Lipmann, Otto",2
"Lipsius, Friedrich",2
"Lissauer, Ernst",2
"Litzmann, Berthold",2
"Lobe, Adolf",2
"Loewe, Richard",2
"Loewy, Alfred",2
"Lohmann, Friedrich",2
"Lombroso, Cesare",2
"Lorck, Carl Berendt",2
"Lossius, Lucas",2
"Lucianus, Samosatensis",2
"Lukjanov, Sergej M.",2
"Lux, Joseph August",2
"Löbe, William",2
"Löhr, Max",2
"Löns, Hermann",2
"Malkmus, Bernard",2
"Mann, Friedrich",2
"Mansion, P.",2
"Mantegazza, Paolo",2
"Marbach, Philipp",2
"Mark Aurel, Römisches Reich",2
"Martensen, Hans Lassen",2
"Martin, Rudolf",2
"Masius, Didacus",2
"Matthiessen, Ludwig",2
"Maukisch, Johann",2
"Maurenbrecher, Max",2
"Mavius, Balthasar [PNDNR:12036364X] [GNDNR:12036364X]",2
"Mayer, Johann Friedrich",2
"Meier, Ernst von",2
"Melinat, Gustav",2
"Mendelssohn Bartholdy, Albrecht",2
"Mentz, Arthur",2
"Menzel, Adolf",2
"Messer, August",2
"Meteren, Emmanuel van",2
"Miaskowski, August von",2
"Mietzsching, Christoph [GNDNR:1058639463]",2
"Migula, Walter",2
"Misler, Johann Nicolaus",2
"Morgan, Thomas Hunt",2
"Mosso, Angelo",2
"Mueller, Ernst",2
"Musaeus, Johannes",2
"Musculus, Wolfgang",2
"Muthesius, Hermann",2
"Möller, Alhard",2
"Möller, Arnold",2
